"PROJ_ID","MONTH_DT","SCHEDULED","COMPLETED"
"Proj-6-165",2014-06-06,56.5,51.5
"Proj-8-165",2014-06-06,63.5,37.5
"Proj-9-165",2014-06-06,87,81
"Proj-7-178",2014-06-19,208,208
"Proj-10-181",2014-07-06,670,631
"Proj-14-183",2014-07-11,66,60
"Proj-16-183",2014-07-11,34.5,34.5
"Proj-31-183",2014-07-11,39.5,34.5
"Proj-33-183",2014-07-11,108,26
"Proj-34-183",2014-07-11,75,75
"Proj-5-183",2014-07-11,44,44
"Proj-6-183",2014-07-11,58,49.5
"Proj-8-183",2014-07-11,50,36
"Proj-9-183",2014-07-11,102,100
"Proj-12-179",2014-07-17,89,89
"Proj-7-180",2014-07-17,225,225
"Proj-7-184",2014-08-22,264,264
"Proj-7-185",2014-08-22,20,20
"Proj-10-186",2014-09-09,150,150
"Proj-7-185",2014-09-18,209,209
"Proj-12-187",2014-09-25,187,187
"Proj-10-190",2014-10-03,969,961
"Proj-7-189",2014-10-16,186,186
"Proj-14-135",2014-10-17,109.5,66.5
"Proj-16-135",2014-10-17,53,40.5
"Proj-31-135",2014-10-17,69.5,56.5
"Proj-34-135",2014-10-17,30,25
"Proj-5-135",2014-10-17,41,41
"Proj-6-135",2014-10-17,59.5,54.5
"Proj-8-135",2014-10-17,49,18
"Proj-9-135",2014-10-17,115,115
"Proj-12-188",2014-10-23,28,28
"Proj-14-139",2014-11-14,95,58
"Proj-16-139",2014-11-14,68.5,55
"Proj-31-139",2014-11-14,135.5,122.5
"Proj-34-139",2014-11-14,76,76
"Proj-5-139",2014-11-14,39,39
"Proj-6-139",2014-11-14,34,28
"Proj-8-139",2014-11-14,81,68
"Proj-9-139",2014-11-14,120,93
"Proj-7-191",2014-11-20,186,186
"Proj-10-165",2014-11-23,151,146
"Proj-12-188",2014-12-04,120,120
"Proj-7-192",2014-12-18,200,200
"Proj-14-165",2014-12-19,129,139
"Proj-16-165",2014-12-19,87.5,98
"Proj-31-165",2014-12-19,55.5,55.5
"Proj-34-165",2014-12-19,30,23
"Proj-5-165",2014-12-19,16,16
"Proj-6-165",2014-12-19,32.5,28.5
"Proj-8-165",2014-12-19,75.5,72.5
"Proj-9-165",2014-12-19,108,109
"Proj-12-187",2015-01-22,1,1
"Proj-12-193",2015-01-22,98,98
